population,model,gini,tmr,rmse
train,xgb,0.6216581881055756,0.2625879805089334,2868.2305707664627
train,torch,0.5982924515494004,0.2701678397401191,2758.7529226038487
train,nn,0.595859802571582,0.26204656199242016,2771.009159426108
train,gam,0.5854898387043164,0.25365457498646454,2790.912922127925
train,ols,0.5826258727067448,0.25121819166215487,2794.675311780312
test,xgb,0.597990326227148,0.26461038961038963,2871.9242147401583
test,torch,0.583855824501265,0.2792207792207792,2750.9363163588114
test,nn,0.5822686408969595,0.2727272727272727,2760.556623101868
test,gam,0.5769764789099148,0.26055194805194803,2781.0429220659853
test,ols,0.5761304714267392,0.2556818181818182,2782.595385156332
