tree_depth,learn_rate,trees,metric,mean
6,0.1,10,gini,0.6026202167836133
6,0.1,10,rmse,3549.763045578927
6,0.1,10,tmr,0.2506392813634065
6,0.1,20,gini,0.6030649627150608
6,0.1,20,rmse,2881.5595560584597
6,0.1,20,tmr,0.258495504278289
6,0.1,40,gini,0.6000053638892882
6,0.1,40,rmse,2768.610521755049
6,0.1,40,tmr,0.26903920024201566
6,0.3,10,gini,0.5982998355184598
6,0.3,10,rmse,2777.3836613639846
6,0.3,10,tmr,0.2670902796303945
6,0.3,20,gini,0.5895695452272404
6,0.3,20,rmse,2772.100534632842
6,0.3,20,tmr,0.2666054735186726
6,0.3,40,gini,0.5799120863127806
6,0.3,40,rmse,2782.0298883807623
6,0.3,40,tmr,0.26440498359684056
12,0.1,10,gini,0.5515645577602539
12,0.1,10,rmse,3570.430522944143
12,0.1,10,tmr,0.25263578075575654
12,0.1,20,gini,0.5519090174658501
12,0.1,20,rmse,2915.8074337415296
12,0.1,20,tmr,0.24723597110349751
12,0.1,40,gini,0.5406654976212762
12,0.1,40,rmse,2828.433759512201
12,0.1,40,tmr,0.24429423616220752
12,0.3,10,gini,0.5302102302463519
12,0.3,10,rmse,2847.66945307297
12,0.3,10,tmr,0.24105869526413076
12,0.3,20,gini,0.506390250625828
12,0.3,20,rmse,2883.2165423913752
12,0.3,20,tmr,0.23249581573597236
12,0.3,40,gini,0.4752716518792031
12,0.3,40,rmse,2942.543801337025
12,0.3,40,tmr,0.22096741187615954
24,0.1,10,gini,0.4493050772871205
24,0.1,10,rmse,3726.5705261486537
24,0.1,10,tmr,0.22294499147567032
24,0.1,20,gini,0.43644653409635636
24,0.1,20,rmse,3133.7223959861376
24,0.1,20,tmr,0.20479773041491717
24,0.1,40,gini,0.4219659377912524
24,0.1,40,rmse,3087.215459726667
24,0.1,40,tmr,0.1942453981072242
24,0.3,10,gini,0.40371068955008665
24,0.3,10,rmse,3122.1195942005925
24,0.3,10,tmr,0.19741760555059554
24,0.3,20,gini,0.39255194278723543
24,0.3,20,rmse,3177.9448788829527
24,0.3,20,tmr,0.19154762726606805
24,0.3,40,gini,0.38572743461555153
24,0.3,40,rmse,3217.4772582807273
24,0.3,40,tmr,0.1891004232881114
